departement,commune,stade,reason,nb_buildings,nb_buildings_total
06,06001,2,Stade 2 : 0 bâtiments,0,0
06,06002,2,Stade 2 : 0 bâtiments,0,0
06,06005,2,Stade 2 : 1 bâtiments,1,1
06,06006,2,Stade 2 : 4 bâtiments,4,4
06,06007,2,Stade 2 : 3 bâtiments,3,3
06,06008,2,Stade 2 : 0 bâtiments,0,0
06,06009,2,Stade 2 : 0 bâtiments,0,0
06,06010,2,Stade 2 : 9 bâtiments,9,9
06,06013,2,Stade 2 : 3 bâtiments,3,3
06,06014,2,Stade 2 : 3 bâtiments,3,3
06,06015,2,Stade 2 : 1 bâtiments,1,1
06,06016,2,Stade 2 : 3 bâtiments,3,3
06,06017,2,Stade 2 : 0 bâtiments,0,0
06,06019,2,Stade 2 : 2 bâtiments,2,2
06,06020,2,Stade 2 : 2 bâtiments,2,2
06,06021,2,Stade 2 : 1 bâtiments,1,1
06,06022,2,Stade 2 : 1 bâtiments,1,1
06,06024,2,Stade 2 : 0 bâtiments,0,0
06,06026,2,Stade 2 : 1 bâtiments,1,1
06,06028,2,Stade 2 : 1 bâtiments,1,1
06,06031,2,Stade 2 : 2 bâtiments,2,2
06,06034,2,Stade 2 : 3 bâtiments,3,3
06,06035,2,Stade 2 : 1 bâtiments,1,1
06,06036,2,Stade 2 : 1 bâtiments,1,1
06,06037,2,Stade 2 : 2 bâtiments,2,2
06,06039,2,Stade 2 : 2 bâtiments,2,2
06,06040,2,Stade 2 : 0 bâtiments,0,0
06,06041,2,Stade 2 : 0 bâtiments,0,0
06,06042,2,Stade 2 : 0 bâtiments,0,0
06,06043,2,Stade 2 : 0 bâtiments,0,0
06,06044,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,25
06,06045,2,Stade 2 : 0 bâtiments,0,0
06,06046,2,Stade 2 : 4 bâtiments,4,4
06,06047,2,Stade 2 : 0 bâtiments,0,0
06,06049,2,Stade 2 : 0 bâtiments,0,0
06,06050,2,Stade 2 : 2 bâtiments,2,2
06,06051,2,Stade 2 : 1 bâtiments,1,1
06,06052,2,Stade 2 : 0 bâtiments,0,0
06,06053,2,Stade 2 : 0 bâtiments,0,0
06,06055,2,Stade 2 : 0 bâtiments,0,0
06,06056,2,Stade 2 : 2 bâtiments,2,2
06,06058,2,Stade 2 : 0 bâtiments,0,0
06,06059,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,16
06,06060,2,Stade 2 : 2 bâtiments,2,2
06,06061,2,Stade 2 : 0 bâtiments,0,0
06,06062,2,Stade 2 : 1 bâtiments,1,1
06,06063,2,Stade 2 : 0 bâtiments,0,0
06,06064,2,Stade 2 : 9 bâtiments,9,9
06,06066,2,Stade 2 : 5 bâtiments,5,5
06,06067,2,Stade 2 : 7 bâtiments,7,7
06,06068,2,Stade 2 : 1 bâtiments,1,1
06,06070,2,Stade 2 : 6 bâtiments,6,6
06,06071,2,Stade 2 : 8 bâtiments,8,8
06,06072,2,Stade 2 : 0 bâtiments,0,0
06,06074,2,Stade 2 : 6 bâtiments,6,6
06,06076,2,Stade 2 : 0 bâtiments,0,0
06,06077,2,Stade 2 : 4 bâtiments,4,4
06,06078,2,Stade 2 : 0 bâtiments,0,0
06,06080,2,Stade 2 : 0 bâtiments,0,0
06,06081,2,Stade 2 : 0 bâtiments,0,0
06,06082,2,Stade 2 : 0 bâtiments,0,0
06,06086,2,Stade 2 : 5 bâtiments,5,5
06,06087,2,Stade 2 : 0 bâtiments,0,0
06,06091,2,Stade 2 : 7 bâtiments,7,7
06,06092,2,Stade 2 : 0 bâtiments,0,0
06,06093,2,Stade 2 : 0 bâtiments,0,0
06,06096,2,Stade 2 : 0 bâtiments,0,0
06,06097,2,Stade 2 : 0 bâtiments,0,0
06,06098,2,Stade 2 : 1 bâtiments,1,1
06,06100,2,Stade 2 : 2 bâtiments,2,2
06,06101,2,Stade 2 : 0 bâtiments,0,0
06,06102,2,Stade 2 : 0 bâtiments,0,0
06,06106,2,Stade 2 : 1 bâtiments,1,1
06,06107,2,Stade 2 : 0 bâtiments,0,0
06,06109,2,Stade 2 : 2 bâtiments,2,2
06,06110,2,Stade 2 : 1 bâtiments,1,1
06,06111,2,Stade 2 : 0 bâtiments,0,0
06,06112,2,Stade 2 : 8 bâtiments,8,8
06,06113,2,Stade 2 : 3 bâtiments,3,3
06,06115,2,Stade 2 : 1 bâtiments,1,1
06,06116,2,Stade 2 : 4 bâtiments,4,4
06,06117,2,Stade 2 : 0 bâtiments,0,0
06,06118,2,Stade 2 : 9 bâtiments,9,9
06,06119,2,Stade 2 : 0 bâtiments,0,0
06,06122,3,Stade 3: 1 bâtiment connecté avec meilleur idx_plant 0,1,10
06,06124,2,Stade 2 : 1 bâtiments,1,1
06,06125,2,Stade 2 : 1 bâtiments,1,1
06,06126,2,Stade 2 : 9 bâtiments,9,9
06,06128,2,Stade 2 : 8 bâtiments,8,8
06,06129,2,Stade 2 : 4 bâtiments,4,4
06,06131,2,Stade 2 : 0 bâtiments,0,0
06,06132,2,Stade 2 : 1 bâtiments,1,1
06,06133,2,Stade 2 : 0 bâtiments,0,0
06,06134,2,Stade 2 : 7 bâtiments,7,7
06,06135,2,Stade 2 : 0 bâtiments,0,0
06,06137,2,Stade 2 : 1 bâtiments,1,1
06,06139,2,Stade 2 : 0 bâtiments,0,0
06,06140,2,Stade 2 : 2 bâtiments,2,2
06,06141,2,Stade 2 : 1 bâtiments,1,1
06,06142,2,Stade 2 : 0 bâtiments,0,0
06,06143,2,Stade 2 : 1 bâtiments,1,1
06,06144,2,Stade 2 : 1 bâtiments,1,1
06,06145,2,Stade 2 : 0 bâtiments,0,0
06,06146,2,Stade 2 : 0 bâtiments,0,0
06,06147,2,Stade 2 : 8 bâtiments,8,8
06,06148,2,Stade 2 : 7 bâtiments,7,7
06,06151,2,Stade 2 : 1 bâtiments,1,1
06,06154,2,Stade 2 : 3 bâtiments,3,3
06,06156,2,Stade 2 : 1 bâtiments,1,1
06,06158,2,Stade 2 : 2 bâtiments,2,2
06,06160,2,Stade 2 : 0 bâtiments,0,0
06,06162,2,Stade 2 : 2 bâtiments,2,2
